Collector,Time,Max Diversity AS,Max Unique Paths,Max AS Prefixes,Highest Avg Diversity AS,Avg Unique Paths,Avg AS Prefixes
rrc00,2024-02-01 00:00,44103,18,1517,202365,3.26,1925
rrc01,2024-02-01 00:00,62167,13,1583,62167,2.57,1583
rrc00,2024-02-01 00:05,202365,19,2684,34927,3.56,2513
rrc01,2024-02-01 00:05,62167,16,2144,62167,2.85,2144
rrc00,2024-02-01 00:10,202365,19,3570,34927,3.52,3504
rrc01,2024-02-01 00:10,62167,16,2764,62167,3.01,2764
rrc00,2024-02-01 00:15,202365,23,3933,34927,3.85,3757
rrc01,2024-02-01 00:15,62167,16,3014,62167,3.3,3014
rrc00,2024-02-01 00:20,202365,23,4094,202365,4.0,4094
rrc01,2024-02-01 00:20,62167,16,3105,62167,3.4,3105
rrc00,2024-02-01 00:25,202365,23,4426,202365,3.97,4426
rrc01,2024-02-01 00:25,62167,17,3383,62167,3.33,3383
rrc00,2024-02-01 00:30,44393,27,2670,202365,4.1,4520
rrc01,2024-02-01 00:30,62167,18,3471,62167,3.48,3471
rrc00,2024-02-01 00:35,44393,27,3062,202365,4.14,4774
rrc01,2024-02-01 00:35,62167,19,3606,62167,3.54,3606
rrc00,2024-02-01 00:40,44393,27,10279,34927,4.04,4836
rrc01,2024-02-01 00:40,62167,19,3717,62167,3.58,3717
rrc00,2024-02-01 00:45,44393,30,12080,34927,3.47,6589
rrc01,2024-02-01 00:45,62167,19,5467,62167,2.96,5467
rrc00,2024-02-01 00:50,44393,30,14336,34927,3.22,8361
rrc01,2024-02-01 00:50,62167,21,7796,62167,2.65,7796
rrc00,2024-02-01 00:55,44393,33,24445,34927,3.33,8468
rrc01,2024-02-01 00:55,62167,24,7885,62167,2.77,7885
